Word,acceptable for generation
AAH,FALSE
AAL,FALSE
AAS,FALSE
ABA,FALSE
ABO,FALSE
ABS,TRUE
ABY,FALSE
ACE,TRUE
ACT,FALSE
ADD,TRUE
ADO,TRUE
ADS,TRUE
ADZ,FALSE
AFF,FALSE
AFT,FALSE
AGA,FALSE
AGE,TRUE
AGO,TRUE
AGS,FALSE
AHA,FALSE
AHI,FALSE
AHS,FALSE
AID,TRUE
AIL,TRUE
AIM,TRUE
AIN,FALSE
AIR,TRUE
AIS,FALSE
AIT,FALSE
ALA,FALSE
ALB,FALSE
ALE,FALSE
ALL,TRUE
ALP,FALSE
ALS,FALSE
ALT,FALSE
AMA,FALSE
AMI,FALSE
AMP,FALSE
AMU,FALSE
ANA,FALSE
AND,TRUE
ANE,FALSE
ANI,FALSE
ANT,TRUE
ANY,TRUE
APE,TRUE
APO,FALSE
APP,TRUE
APT,TRUE
ARB,FALSE
ARC,TRUE
ARE,FALSE
ARF,FALSE
ARK,TRUE
ARM,TRUE
ARS,FALSE
ART,FALSE
ASH,TRUE
ASK,TRUE
ASP,TRUE
ASS,FALSE
ATE,FALSE
ATT,FALSE
AUK,FALSE
AVA,FALSE
AVE,FALSE
AVO,FALSE
AWA,FALSE
AWE,FALSE
AWL,TRUE
AWN,FALSE
AXE,TRUE
AYE,TRUE
AYS,FALSE
AZO,FALSE
BAA,FALSE
BAD,TRUE
BAG,TRUE
BAH,FALSE
BAL,FALSE
BAM,FALSE
BAN,FALSE
BAP,FALSE
BAR,FALSE
BAS,FALSE
BAT,TRUE
BAY,TRUE
BED,TRUE
BEE,TRUE
BEG,TRUE
BEL,FALSE
BEN,FALSE
BES,FALSE
BET,TRUE
BEY,FALSE
BIB,TRUE
BID,TRUE
BIG,TRUE
BIN,TRUE
BIO,FALSE
BIS,FALSE
BIT,TRUE
BIZ,FALSE
BOA,FALSE
BOB,TRUE
BOD,FALSE
BOG,TRUE
BOO,FALSE
BOP,FALSE
BOS,FALSE
BOT,TRUE
BOW,TRUE
BOX,TRUE
BOY,TRUE
BRA,TRUE
BRO,TRUE
BRR,FALSE
BUB,TRUE
BUD,TRUE
BUG,TRUE
BUM,TRUE
BUN,TRUE
BUR,FALSE
BUS,TRUE
BUT,TRUE
BUY,TRUE
BYE,TRUE
BYS,FALSE
CAB,TRUE
CAD,TRUE
CAM,FALSE
CAN,TRUE
CAP,TRUE
CAR,TRUE
CAT,TRUE
CAW,FALSE
CAY,TRUE
CEE,FALSE
CEL,FALSE
CEP,FALSE
CHI,TRUE
CIG,FALSE
CIS,FALSE
COB,TRUE
COD,TRUE
COG,TRUE
COL,FALSE
CON,TRUE
COO,TRUE
COP,TRUE
COR,FALSE
COS,FALSE
COT,TRUE
COW,TRUE
COX,FALSE
COY,TRUE
COZ,FALSE
CRU,FALSE
CRY,TRUE
CUB,TRUE
CUD,TRUE
CUE,TRUE
CUM,FALSE
CUP,FALSE
CUR,FALSE
CUT,FALSE
CWM,FALSE
DAB,TRUE
DAD,TRUE
DAG,FALSE
DAH,FALSE
DAK,FALSE
DAL,FALSE
DAM,TRUE
DAN,FALSE
DAP,FALSE
DAW,FALSE
DAY,FALSE
DEB,FALSE
DEE,FALSE
DEF,FALSE
DEL,FALSE
DEN,FALSE
DEV,FALSE
DEW,TRUE
DEX,FALSE
DEY,FALSE
DIB,FALSE
DID,TRUE
DIE,TRUE
DIF,FALSE
DIG,TRUE
DIM,TRUE
DIN,TRUE
DIP,TRUE
DIS,FALSE
DIT,FALSE
DOC,FALSE
DOE,TRUE
DOG,TRUE
DOL,FALSE
DOM,FALSE
DON,TRUE
DOR,FALSE
DOS,FALSE
DOT,TRUE
DOW,FALSE
DRY,TRUE
DUB,TRUE
DUD,TRUE
DUE,TRUE
DUG,TRUE
DUH,FALSE
DUI,FALSE
DUN,FALSE
DUO,TRUE
DUP,FALSE
DYE,TRUE
EAR,TRUE
EAT,TRUE
EAU,FALSE
EBB,TRUE
ECU,FALSE
EDH,FALSE
EDS,FALSE
EEK,FALSE
EEL,TRUE
EFF,FALSE
EFS,FALSE
EFT,FALSE
EGG,TRUE
EGO,TRUE
EKE,TRUE
ELD,FALSE
ELF,TRUE
ELK,TRUE
ELL,FALSE
ELM,TRUE
ELS,FALSE
EME,FALSE
EMS,FALSE
EMU,TRUE
END,TRUE
ENG,FALSE
ENS,FALSE
EON,TRUE
ERA,TRUE
ERE,TRUE
ERG,FALSE
ERN,FALSE
ERR,TRUE
ERS,FALSE
ESS,FALSE
ETA,FALSE
ETH,FALSE
EVE,TRUE
EWE,TRUE
EYE,TRUE
FAB,FALSE
FAD,TRUE
FAG,FALSE
FAN,TRUE
FAR,TRUE
FAS,FALSE
FAT,TRUE
FAX,TRUE
FAY,FALSE
FED,TRUE
FEE,TRUE
FEH,FALSE
FEM,FALSE
